"legacy_id","proposal_id","professional_status_type","affiliation_name","country","domestic"
"AA320",,"Graduate Student","Catalunya, Institut d'Estudis Espacials de","Spain","FALSE"
"AA324",,"Graduate Student","McGill University","Canada","FALSE"
"AA325",,"All Others","Observatoire de Geneve","Switzerland","FALSE"
"AA327",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"AB1230",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AB1299",,"Graduate Student","Bologna, Universita degli Studi di","Italy","FALSE"
"AB1300",,"All Others","Barcelona, Universidad de","Spain","FALSE"
"AB1301",,"All Others","Carnegie Institute of Washington","United States","TRUE"
"AB1304",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"AB1305",,"Graduate Student","Massachusetts at Amherst, University of","United States","TRUE"
"AB1306",,"Graduate Student","Arizona, University of","United States","TRUE"
"AB1308",,"All Others","York University","Canada","FALSE"
"AB1311",,"Graduate Student","Bologna, Universita degli Studi di","Italy","FALSE"
"AB1312",,"All Others","Harvard University","United States","TRUE"
"AB1313",,"All Others","Harvard University","United States","TRUE"
"AB1314",,"All Others","California at Davis, University of","United States","TRUE"
"AB1315",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"AB1316",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"AB1320",,"All Others","Commissariat a l'Energie Atomique","France","FALSE"
"AB1321",,"All Others","Columbia University","United States","TRUE"
"AB1322",,"All Others","Geografico Nacional, Instituto","Spain","FALSE"
"AB1323",,"All Others","Harvard University","United States","TRUE"
"AB1324",,"All Others","Nicolaus Copernicus University","Poland","FALSE"
"AB1325",,"All Others","University of Wisconsin","United States","TRUE"
"AB1327",,"All Others","York University","Canada","FALSE"
"AB1328",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"AB1338",,"All Others","California at Berkeley, University of","United States","TRUE"
"AB1339",,"All Others","Harvard University","United States","TRUE"
"AC876",,"All Others","National Radio Astronomy Observatory","United States","TRUE"
"AC910",,"Graduate Student","New Mexico, University of","United States","TRUE"
"AC926",,"All Others","Istituto Nazionale di Astrofisica","Italy","FALSE"
"AC932",,"All Others","National Aeronautics and Space Administration","United States","TRUE"
"AC933",,"All Others","National Aeronautics and Space Administration","United States","TRUE"
"AC934",,"Graduate Student","Wisconsin at Madison, University of","United States","TRUE"
"AC936",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AC938",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AC940",,"All Others","Istituto di Radioastronomia, Bologna Institute","Italy","FALSE"
"AC941",,"All Others","Naval Research Laboratory","United States","TRUE"
"AC942",,"All Others","National Aeronautics and Space Administration","United States","TRUE"
"AC946",,"All Others","Korea Astronomy and Space Science Institute","Korea, Republic of","FALSE"
"AC948",,"Graduate Student","Wisconsin at Madison, University of","United States","TRUE"
"AC950",,"All Others","Tata Institute of Fundamental Research","India","FALSE"
"AC951",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AC952",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AC954",,"All Others","Istituto Nazionale di Astrofisica","Italy","FALSE"
"AC959",,"Graduate Student","Instituto de Astrofisica de Andaluca","Spain","FALSE"
"AC960",,"All Others","Max-Planck-Institut fur Radioastronomie","Germany","FALSE"
"AC962",,"All Others","Max-Planck-Institut fur Astrophysik","Germany","FALSE"
"AC963",,"All Others","Macalester College","United States","TRUE"
"AC964",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AC965",,"All Others","Jagiellonian University","Poland","FALSE"
"AC966",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AD565",,"All Others","Institute of Astrophysics, National Research Council Canada","Canada","FALSE"
"AD589",,"Graduate Student","New Mexico Institute of Mining and Technology","United States","TRUE"
"AD593",,"All Others","European Southern Observatory","Chile","FALSE"
"AD600",,"All Others","Commissariat a l'Energie Atomique","France","FALSE"
"AD603",,"Graduate Student","Columbia University","United States","TRUE"
"AD604",,"Graduate Student","Indiana University","United States","TRUE"
"AD606",,"All Others","Commissariat a l'Energie Atomique","France","FALSE"
"AD609",,"All Others","Astronomy and Space Physics, Instituto de","Argentina","FALSE"
"AD615",,"Graduate Student","Georgia Institute of Technology","United States","TRUE"
"AD616",,"Graduate Student","Georgia Institute of Technology","United States","TRUE"
"AD621",,"All Others","Institute of Physics","Taiwan","FALSE"
"AE172",,"All Others","California at Berkeley, University of","United States","TRUE"
"AE174",,"All Others","Central Lancashire, University of","United Kingdom","FALSE"
"AF454",,"All Others","Istituto Nazionale di Astrofisica","Switzerland","FALSE"
"AF474",,"All Others","National Astronomical Observatory of Japan","Japan","FALSE"
"AF475",,"All Others","Manchester, University of","United Kingdom","FALSE"
"AF476",,"Graduate Student","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"AF478",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AF479",,"All Others","California Institute of Technology","United States","TRUE"
"AF480",,"All Others","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"AF481",,"All Others","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"AF482",,"Graduate Student","Wisconsin at Madison, University of","United States","TRUE"
"AF483",,"NRAO Staff","National Radio Astronomy Observatory","United States","TRUE"
"AG746",,"All Others","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"AG777",,"All Others","Princeton University","United States","TRUE"
"AG786",,"Graduate Student","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"AG795",,"All Others","Osservatorio Astronomico di Bologna","Italy","FALSE"
"AG797",,"All Others","Cambridge University","United Kingdom","FALSE"
"AG798",,"Graduate Student","Hertfordshire, University of","United Kingdom","FALSE"
"AG800",,"Graduate Student","British Columbia, University of","Canada","FALSE"
"AG801",,"All Others","Mexico, Universidad Nacional Autonoma de","Mexico","FALSE"
"AG802",,"All Others","New York University","United States","TRUE"
"AG803",,"All Others","New York University","United States","TRUE"
"AG806",,"All Others","George Mason University","United States","TRUE"
"AG807",,"All Others","University of Valencia","Spain","FALSE"
"AG809",,"Graduate Student","Calgary, University of","Canada","FALSE"
"AG810",,"All Others","New York University","United States","TRUE"
"AG811",,"Graduate Student","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"AG815",,"All Others","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"AG816",,"All Others","Athens, National Observatory of","Greece","FALSE"
"AG818",,"Graduate Student","Chile, Universidad de","Chile","FALSE"
"AG820",,"All Others","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"AG826",,"All Others","Harvard-Smithsonian Center for Astrophysics","United States","TRUE"
"AH1000",,"Graduate Student","Galway, National University of Ireland","Ireland","FALSE"
"AH1001",,"All Others","Carnegie Institute of Washington","United States","TRUE"
"AH1003",,"All Others","California at Berkeley, University of","United States","TRUE"
